timestamp,method,manual,pass,input_tokens,output_tokens,total_tokens,model
2026-04-29T10:03:02,modular_rag,ABB_Terra_AC_Charger_ModbusCommunication_v1.7.pdf,comm,4751,52,4803,gpt-5.1-2025-11-13
2026-04-29T10:03:07,modular_rag,ABB_Terra_AC_Charger_ModbusCommunication_v1.7.pdf,transaction,8705,211,8916,gpt-5.1-2025-11-13
2026-04-29T10:03:17,modular_rag,APM-MAX-Modbus-Communications.pdf,comm,4713,53,4766,gpt-5.1-2025-11-13
2026-04-29T10:03:22,modular_rag,APM-MAX-Modbus-Communications.pdf,transaction,7950,210,8160,gpt-5.1-2025-11-13
2026-04-29T10:03:34,modular_rag,Application_Note_Optidrive_E3_Modbus_register_map.pdf,comm,6069,51,6120,gpt-5.1-2025-11-13
2026-04-29T10:03:38,modular_rag,Application_Note_Optidrive_E3_Modbus_register_map.pdf,transaction,12786,211,12997,gpt-5.1-2025-11-13
2026-04-29T10:03:48,modular_rag,a_emcion_homecontroller_modbus_lookup_table_en ....pdf,comm,3745,52,3797,gpt-5.1-2025-11-13
2026-04-29T10:03:52,modular_rag,a_emcion_homecontroller_modbus_lookup_table_en ....pdf,transaction,8361,213,8574,gpt-5.1-2025-11-13
2026-04-29T10:04:01,modular_rag,a_si370010--_en.pdf     .pdf,comm,6549,51,6600,gpt-5.1-2025-11-13
2026-04-29T10:04:06,modular_rag,a_si370010--_en.pdf     .pdf,transaction,15359,209,15568,gpt-5.1-2025-11-13
2026-04-29T10:04:15,modular_rag,CMS Manual_web ...pdf,comm,4653,52,4705,gpt-5.1-2025-11-13
2026-04-29T10:04:18,modular_rag,CMS Manual_web ...pdf,transaction,10870,213,11083,gpt-5.1-2025-11-13
2026-04-29T10:04:28,modular_rag,Communication-Protocol-Modbus-EMS-96-IM166-U-v0.4-eng.pdf,comm,6925,53,6978,gpt-5.1-2025-11-13
2026-04-29T10:04:32,modular_rag,Communication-Protocol-Modbus-EMS-96-IM166-U-v0.4-eng.pdf,transaction,14848,212,15060,gpt-5.1-2025-11-13
2026-04-29T10:04:41,modular_rag,EM330_EM340_ET330_ET340_CP.pdf,comm,6908,52,6960,gpt-5.1-2025-11-13
2026-04-29T10:04:44,modular_rag,EM330_EM340_ET330_ET340_CP.pdf,transaction,12165,207,12372,gpt-5.1-2025-11-13
2026-04-29T10:04:53,modular_rag,EN_FANOXTD_MANU_SIA_MODBUS_SIAB-STANDARD-CT_R008.pdf,comm,4231,51,4282,gpt-5.1-2025-11-13
2026-04-29T10:04:59,modular_rag,EN_FANOXTD_MANU_SIA_MODBUS_SIAB-STANDARD-CT_R008.pdf,transaction,11778,209,11987,gpt-5.1-2025-11-13
2026-04-29T10:05:08,modular_rag,ifu-9033781en-us-en-us ....pdf,comm,5945,52,5997,gpt-5.1-2025-11-13
2026-04-29T10:05:11,modular_rag,ifu-9033781en-us-en-us ....pdf,transaction,12263,212,12475,gpt-5.1-2025-11-13
2026-04-29T10:05:20,modular_rag,IG_EF-N1000-T ...pdf,comm,6254,54,6308,gpt-5.1-2025-11-13
2026-04-29T10:05:24,modular_rag,IG_EF-N1000-T ...pdf,transaction,9112,209,9321,gpt-5.1-2025-11-13
2026-04-29T10:05:33,modular_rag,IM_C250-MOD_3 ....pdf,comm,4902,53,4955,gpt-5.1-2025-11-13
2026-04-29T10:05:36,modular_rag,IM_C250-MOD_3 ....pdf,transaction,12051,211,12262,gpt-5.1-2025-11-13
2026-04-29T10:05:47,modular_rag,Instruction_Manual_VA_5xx_Modbus_RTU_Slave_Installation.pdf,comm,5552,52,5604,gpt-5.1-2025-11-13
2026-04-29T10:05:50,modular_rag,Instruction_Manual_VA_5xx_Modbus_RTU_Slave_Installation.pdf,transaction,11147,216,11363,gpt-5.1-2025-11-13
2026-04-29T10:05:59,modular_rag,IRMAX-Modbus-Manual-GLC-028X-Public-Issue-6.pdf,comm,6423,51,6474,gpt-5.1-2025-11-13
2026-04-29T10:06:03,modular_rag,IRMAX-Modbus-Manual-GLC-028X-Public-Issue-6.pdf,transaction,11762,208,11970,gpt-5.1-2025-11-13
2026-04-29T10:06:13,modular_rag,janitza-mal-umg96rme-en.pdf,comm,6648,52,6700,gpt-5.1-2025-11-13
2026-04-29T10:06:16,modular_rag,janitza-mal-umg96rme-en.pdf,transaction,12471,217,12688,gpt-5.1-2025-11-13
2026-04-29T10:06:24,modular_rag,LV_Podrecznik_PAC2200_EN_2017.pdf,comm,5222,51,5273,gpt-5.1-2025-11-13
2026-04-29T10:06:28,modular_rag,LV_Podrecznik_PAC2200_EN_2017.pdf,transaction,11765,213,11978,gpt-5.1-2025-11-13
2026-04-29T10:06:37,modular_rag,magx1-modbus-manual-eng ....pdf,comm,4322,52,4374,gpt-5.1-2025-11-13
2026-04-29T10:06:41,modular_rag,magx1-modbus-manual-eng ....pdf,transaction,11255,209,11464,gpt-5.1-2025-11-13
2026-04-29T10:06:51,modular_rag,magx2-modbus-manual-eng.pdf,comm,6479,52,6531,gpt-5.1-2025-11-13
2026-04-29T10:06:55,modular_rag,magx2-modbus-manual-eng.pdf,transaction,11836,208,12044,gpt-5.1-2025-11-13
2026-04-29T10:07:04,modular_rag,MAMODBUS-SU-EU-EN ....pdf,comm,4917,51,4968,gpt-5.1-2025-11-13
2026-04-29T10:07:08,modular_rag,MAMODBUS-SU-EU-EN ....pdf,transaction,12402,208,12610,gpt-5.1-2025-11-13
2026-04-29T10:07:17,modular_rag,man--thermoMETER-ct-ctlaser-modbus-rtu-commands--en.pdf,comm,4687,52,4739,gpt-5.1-2025-11-13
2026-04-29T10:07:22,modular_rag,man--thermoMETER-ct-ctlaser-modbus-rtu-commands--en.pdf,transaction,9153,210,9363,gpt-5.1-2025-11-13
2026-04-29T10:07:33,modular_rag,manual-rht-climate-wm-dm-transmitter-v14x-b-en.pdf,comm,6151,53,6204,gpt-5.1-2025-11-13
2026-04-29T10:07:38,modular_rag,manual-rht-climate-wm-dm-transmitter-v14x-b-en.pdf,transaction,11125,212,11337,gpt-5.1-2025-11-13
2026-04-29T10:07:48,modular_rag,MAN_24_4956731.pdf,comm,4056,51,4107,gpt-5.1-2025-11-13
2026-04-29T10:07:56,modular_rag,MAN_24_4956731.pdf,transaction,8959,211,9170,gpt-5.1-2025-11-13
2026-04-29T10:08:05,modular_rag,mg10p222.pdf,comm,6362,51,6413,gpt-5.1-2025-11-13
2026-04-29T10:08:11,modular_rag,mg10p222.pdf,transaction,11694,213,11907,gpt-5.1-2025-11-13
2026-04-29T10:08:20,modular_rag,mi00485-5-en ...pdf,comm,4443,51,4494,gpt-5.1-2025-11-13
2026-04-29T10:08:23,modular_rag,mi00485-5-en ...pdf,transaction,10469,211,10680,gpt-5.1-2025-11-13
2026-04-29T10:08:33,modular_rag,MN040018_EN.pdf,comm,6741,52,6793,gpt-5.1-2025-11-13
2026-04-29T10:08:37,modular_rag,MN040018_EN.pdf,transaction,13085,208,13293,gpt-5.1-2025-11-13
2026-04-29T10:08:46,modular_rag,Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf     .pdf,comm,7655,54,7709,gpt-5.1-2025-11-13
2026-04-29T10:08:49,modular_rag,Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf     .pdf,transaction,10702,212,10914,gpt-5.1-2025-11-13
2026-04-29T10:08:59,modular_rag,Modbus-RTU-Manual.2022.pdf,comm,5026,51,5077,gpt-5.1-2025-11-13
2026-04-29T10:09:03,modular_rag,Modbus-RTU-Manual.2022.pdf,transaction,11307,206,11513,gpt-5.1-2025-11-13
2026-04-29T10:09:13,modular_rag,ModbusManual_920-0072E ....pdf,comm,5228,54,5282,gpt-5.1-2025-11-13
2026-04-29T10:09:17,modular_rag,ModbusManual_920-0072E ....pdf,transaction,8926,212,9138,gpt-5.1-2025-11-13
2026-04-29T10:09:27,modular_rag,modbusprotokollkostalsmartenergymeter ....pdf,comm,4974,54,5028,gpt-5.1-2025-11-13
2026-04-29T10:09:30,modular_rag,modbusprotokollkostalsmartenergymeter ....pdf,transaction,11630,212,11842,gpt-5.1-2025-11-13
2026-04-29T10:09:39,modular_rag,Modbus_RTU_register_map_for_TRIO-20.0(27.6)-TL-OUTD_Revision_1.6 .....pdf,comm,4247,51,4298,gpt-5.1-2025-11-13
2026-04-29T10:09:43,modular_rag,Modbus_RTU_register_map_for_TRIO-20.0(27.6)-TL-OUTD_Revision_1.6 .....pdf,transaction,13092,224,13316,gpt-5.1-2025-11-13
2026-04-29T10:09:55,modular_rag,PM5100.pdf,comm,4117,52,4169,gpt-5.1-2025-11-13
2026-04-29T10:09:58,modular_rag,PM5100.pdf,transaction,9550,216,9766,gpt-5.1-2025-11-13
2026-04-29T10:10:08,modular_rag,PM5300 User Manual.pdf,comm,4694,52,4746,gpt-5.1-2025-11-13
2026-04-29T10:10:13,modular_rag,PM5300 User Manual.pdf,transaction,10559,211,10770,gpt-5.1-2025-11-13
2026-04-29T10:10:23,modular_rag,pmt-hps-51-52-25-66rt ....pdf,comm,5824,51,5875,gpt-5.1-2025-11-13
2026-04-29T10:10:26,modular_rag,pmt-hps-51-52-25-66rt ....pdf,transaction,13317,210,13527,gpt-5.1-2025-11-13
2026-04-29T10:10:37,modular_rag,rtvs1-35l22-modbus-registerlista ....pdf,comm,4939,52,4991,gpt-5.1-2025-11-13
2026-04-29T10:10:44,modular_rag,rtvs1-35l22-modbus-registerlista ....pdf,transaction,8433,209,8642,gpt-5.1-2025-11-13
2026-04-29T10:10:53,modular_rag,S111_Modbus-register-table_EN_V2025-2.pdf ...pdf,comm,4619,51,4670,gpt-5.1-2025-11-13
2026-04-29T10:10:57,modular_rag,S111_Modbus-register-table_EN_V2025-2.pdf ...pdf,transaction,10885,212,11097,gpt-5.1-2025-11-13
2026-04-29T10:11:06,modular_rag,s5gbm_modbus-installation-kep-x.pdf,comm,5511,52,5563,gpt-5.1-2025-11-13
2026-04-29T10:11:10,modular_rag,s5gbm_modbus-installation-kep-x.pdf,transaction,11657,209,11866,gpt-5.1-2025-11-13
2026-04-29T10:11:20,modular_rag,S6+Standard+MODBUS-RTU+Communication+Module++User+Manual ....pdf,comm,5334,52,5386,gpt-5.1-2025-11-13
2026-04-29T10:11:26,modular_rag,S6+Standard+MODBUS-RTU+Communication+Module++User+Manual ....pdf,transaction,10411,209,10620,gpt-5.1-2025-11-13
2026-04-29T10:11:36,modular_rag,Schneider-Electric_Acti9-iEM3000-Energy-Meters_A9MEM3355-User-Manual.pdf,comm,5478,52,5530,gpt-5.1-2025-11-13
2026-04-29T10:11:39,modular_rag,Schneider-Electric_Acti9-iEM3000-Energy-Meters_A9MEM3355-User-Manual.pdf,transaction,12367,219,12586,gpt-5.1-2025-11-13
2026-04-29T10:11:49,modular_rag,SDM120-MODBUS_Protocol.pdf,comm,4615,53,4668,gpt-5.1-2025-11-13
2026-04-29T10:11:52,modular_rag,SDM120-MODBUS_Protocol.pdf,transaction,10891,210,11101,gpt-5.1-2025-11-13
2026-04-29T10:12:02,modular_rag,sdm230-modbus.pdf,comm,6497,51,6548,gpt-5.1-2025-11-13
2026-04-29T10:12:05,modular_rag,sdm230-modbus.pdf,transaction,10829,212,11041,gpt-5.1-2025-11-13
2026-04-29T10:12:16,modular_rag,SDM630_MODBUS_Protocol.pdf,comm,5405,51,5456,gpt-5.1-2025-11-13
2026-04-29T10:12:21,modular_rag,SDM630_MODBUS_Protocol.pdf,transaction,11092,212,11304,gpt-5.1-2025-11-13
2026-04-29T10:12:32,modular_rag,silverc-modbus-other-en.pdf,comm,6079,53,6132,gpt-5.1-2025-11-13
2026-04-29T10:12:37,modular_rag,silverc-modbus-other-en.pdf,transaction,13359,209,13568,gpt-5.1-2025-11-13
2026-04-29T10:12:46,modular_rag,Sonic-Driver-MODBUS-WALL-UFM-RTU-Protocol-010724 ....pdf,comm,4615,51,4666,gpt-5.1-2025-11-13
2026-04-29T10:12:50,modular_rag,Sonic-Driver-MODBUS-WALL-UFM-RTU-Protocol-010724 ....pdf,transaction,9574,214,9788,gpt-5.1-2025-11-13
2026-04-29T10:40:05,modular_rag,1815243_C5 ....pdf,comm,5294,53,5347,gpt-5.1-2025-11-13
2026-04-29T10:40:10,modular_rag,1815243_C5 ....pdf,transaction,14015,209,14224,gpt-5.1-2025-11-13
2026-04-29T10:40:19,modular_rag,1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,comm,6329,54,6383,gpt-5.1-2025-11-13
2026-04-29T10:40:23,modular_rag,1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf,transaction,11409,208,11617,gpt-5.1-2025-11-13
2026-04-29T10:40:32,modular_rag,20231204_Userguide_ModbusRTU_EN.pdf ...pdf,comm,6742,51,6793,gpt-5.1-2025-11-13
2026-04-29T10:40:36,modular_rag,20231204_Userguide_ModbusRTU_EN.pdf ...pdf,transaction,12239,216,12455,gpt-5.1-2025-11-13
2026-04-29T10:40:45,modular_rag,3S_RH_AT_PS_User_Manual ...pdf,comm,5432,51,5483,gpt-5.1-2025-11-13
2026-04-29T10:40:50,modular_rag,3S_RH_AT_PS_User_Manual ...pdf,transaction,8632,217,8849,gpt-5.1-2025-11-13
2026-04-29T10:41:01,modular_rag,4104_mcm_100.pdf ...pdf,comm,5721,52,5773,gpt-5.1-2025-11-13
2026-04-29T10:41:06,modular_rag,4104_mcm_100.pdf ...pdf,transaction,14538,208,14746,gpt-5.1-2025-11-13
2026-04-29T10:41:15,modular_rag,7500f_man_3.pdf,comm,5355,51,5406,gpt-5.1-2025-11-13
2026-04-29T10:41:19,modular_rag,7500f_man_3.pdf,transaction,10827,208,11035,gpt-5.1-2025-11-13
2026-04-29T10:41:28,modular_rag,9202_mcm_100.pdf,comm,5592,52,5644,gpt-5.1-2025-11-13
2026-04-29T10:41:34,modular_rag,9202_mcm_100.pdf,transaction,13472,207,13679,gpt-5.1-2025-11-13
2026-04-29T10:41:43,modular_rag,9203_mcm_101.pdf,comm,5489,52,5541,gpt-5.1-2025-11-13
2026-04-29T10:41:46,modular_rag,9203_mcm_101.pdf,transaction,10998,210,11208,gpt-5.1-2025-11-13
2026-04-29T10:41:55,modular_rag,ABB_Terra_AC_Charger_ModbusCommunication_v1.7.pdf,comm,4751,51,4802,gpt-5.1-2025-11-13
2026-04-29T10:41:58,modular_rag,ABB_Terra_AC_Charger_ModbusCommunication_v1.7.pdf,transaction,8705,211,8916,gpt-5.1-2025-11-13
2026-04-29T10:42:07,modular_rag,APM-MAX-Modbus-Communications.pdf,comm,4714,53,4767,gpt-5.1-2025-11-13
2026-04-29T10:42:10,modular_rag,APM-MAX-Modbus-Communications.pdf,transaction,7952,210,8162,gpt-5.1-2025-11-13
2026-04-29T10:42:20,modular_rag,Application_Note_Optidrive_E3_Modbus_register_map.pdf,comm,6068,51,6119,gpt-5.1-2025-11-13
2026-04-29T10:42:23,modular_rag,Application_Note_Optidrive_E3_Modbus_register_map.pdf,transaction,12788,211,12999,gpt-5.1-2025-11-13
2026-04-29T10:42:32,modular_rag,a_emcion_homecontroller_modbus_lookup_table_en ....pdf,comm,3746,52,3798,gpt-5.1-2025-11-13
2026-04-29T10:42:36,modular_rag,a_emcion_homecontroller_modbus_lookup_table_en ....pdf,transaction,8361,213,8574,gpt-5.1-2025-11-13
2026-04-29T10:42:46,modular_rag,a_si370010--_en.pdf     .pdf,comm,6551,51,6602,gpt-5.1-2025-11-13
2026-04-29T10:42:49,modular_rag,a_si370010--_en.pdf     .pdf,transaction,15358,209,15567,gpt-5.1-2025-11-13
2026-04-29T10:42:59,modular_rag,CMS Manual_web ...pdf,comm,4653,52,4705,gpt-5.1-2025-11-13
2026-04-29T10:43:02,modular_rag,CMS Manual_web ...pdf,transaction,10869,215,11084,gpt-5.1-2025-11-13
2026-04-29T10:43:12,modular_rag,Communication-Protocol-Modbus-EMS-96-IM166-U-v0.4-eng.pdf,comm,6925,53,6978,gpt-5.1-2025-11-13
2026-04-29T10:43:16,modular_rag,Communication-Protocol-Modbus-EMS-96-IM166-U-v0.4-eng.pdf,transaction,14847,212,15059,gpt-5.1-2025-11-13
2026-04-29T10:43:25,modular_rag,EM330_EM340_ET330_ET340_CP.pdf,comm,6909,52,6961,gpt-5.1-2025-11-13
2026-04-29T10:43:28,modular_rag,EM330_EM340_ET330_ET340_CP.pdf,transaction,12166,207,12373,gpt-5.1-2025-11-13
2026-04-29T10:43:37,modular_rag,EN_FANOXTD_MANU_SIA_MODBUS_SIAB-STANDARD-CT_R008.pdf,comm,4767,51,4818,gpt-5.1-2025-11-13
2026-04-29T10:43:40,modular_rag,EN_FANOXTD_MANU_SIA_MODBUS_SIAB-STANDARD-CT_R008.pdf,transaction,11777,209,11986,gpt-5.1-2025-11-13
2026-04-29T10:43:50,modular_rag,ifu-9033781en-us-en-us ....pdf,comm,5946,52,5998,gpt-5.1-2025-11-13
2026-04-29T10:43:54,modular_rag,ifu-9033781en-us-en-us ....pdf,transaction,12267,215,12482,gpt-5.1-2025-11-13
2026-04-29T10:44:03,modular_rag,IG_EF-N1000-T ...pdf,comm,6253,54,6307,gpt-5.1-2025-11-13
2026-04-29T10:44:06,modular_rag,IG_EF-N1000-T ...pdf,transaction,9110,209,9319,gpt-5.1-2025-11-13
2026-04-29T10:44:15,modular_rag,IM_C250-MOD_3 ....pdf,comm,4902,53,4955,gpt-5.1-2025-11-13
2026-04-29T10:44:18,modular_rag,IM_C250-MOD_3 ....pdf,transaction,12051,211,12262,gpt-5.1-2025-11-13
2026-04-29T10:44:29,modular_rag,Instruction_Manual_VA_5xx_Modbus_RTU_Slave_Installation.pdf,comm,5554,52,5606,gpt-5.1-2025-11-13
2026-04-29T10:44:33,modular_rag,Instruction_Manual_VA_5xx_Modbus_RTU_Slave_Installation.pdf,transaction,11144,219,11363,gpt-5.1-2025-11-13
2026-04-29T10:44:43,modular_rag,IRMAX-Modbus-Manual-GLC-028X-Public-Issue-6.pdf,comm,6424,51,6475,gpt-5.1-2025-11-13
2026-04-29T10:44:46,modular_rag,IRMAX-Modbus-Manual-GLC-028X-Public-Issue-6.pdf,transaction,11764,208,11972,gpt-5.1-2025-11-13
2026-04-29T10:44:56,modular_rag,janitza-mal-umg96rme-en.pdf,comm,6650,52,6702,gpt-5.1-2025-11-13
2026-04-29T10:44:59,modular_rag,janitza-mal-umg96rme-en.pdf,transaction,12475,217,12692,gpt-5.1-2025-11-13
2026-04-29T10:45:09,modular_rag,LV_Podrecznik_PAC2200_EN_2017.pdf,comm,5221,51,5272,gpt-5.1-2025-11-13
2026-04-29T10:45:12,modular_rag,LV_Podrecznik_PAC2200_EN_2017.pdf,transaction,11765,213,11978,gpt-5.1-2025-11-13
2026-04-29T10:45:21,modular_rag,magx1-modbus-manual-eng ....pdf,comm,4322,52,4374,gpt-5.1-2025-11-13
2026-04-29T10:45:24,modular_rag,magx1-modbus-manual-eng ....pdf,transaction,11256,209,11465,gpt-5.1-2025-11-13
2026-04-29T10:45:35,modular_rag,magx2-modbus-manual-eng.pdf,comm,6477,52,6529,gpt-5.1-2025-11-13
2026-04-29T10:45:38,modular_rag,magx2-modbus-manual-eng.pdf,transaction,11834,208,12042,gpt-5.1-2025-11-13
2026-04-29T10:45:48,modular_rag,MAMODBUS-SU-EU-EN ....pdf,comm,4915,51,4966,gpt-5.1-2025-11-13
2026-04-29T10:45:51,modular_rag,MAMODBUS-SU-EU-EN ....pdf,transaction,12406,214,12620,gpt-5.1-2025-11-13
2026-04-29T10:46:00,modular_rag,man--thermoMETER-ct-ctlaser-modbus-rtu-commands--en.pdf,comm,4686,52,4738,gpt-5.1-2025-11-13
2026-04-29T10:46:04,modular_rag,man--thermoMETER-ct-ctlaser-modbus-rtu-commands--en.pdf,transaction,9151,214,9365,gpt-5.1-2025-11-13
2026-04-29T10:46:13,modular_rag,manual-rht-climate-wm-dm-transmitter-v14x-b-en.pdf,comm,6151,53,6204,gpt-5.1-2025-11-13
2026-04-29T10:46:16,modular_rag,manual-rht-climate-wm-dm-transmitter-v14x-b-en.pdf,transaction,11127,212,11339,gpt-5.1-2025-11-13
2026-04-29T10:46:25,modular_rag,MAN_24_4956731.pdf,comm,4056,51,4107,gpt-5.1-2025-11-13
2026-04-29T10:46:28,modular_rag,MAN_24_4956731.pdf,transaction,8958,211,9169,gpt-5.1-2025-11-13
2026-04-29T10:46:37,modular_rag,mg10p222.pdf,comm,6362,51,6413,gpt-5.1-2025-11-13
2026-04-29T10:46:41,modular_rag,mg10p222.pdf,transaction,11694,213,11907,gpt-5.1-2025-11-13
2026-04-29T10:46:49,modular_rag,mi00485-5-en ...pdf,comm,4444,51,4495,gpt-5.1-2025-11-13
2026-04-29T10:46:53,modular_rag,mi00485-5-en ...pdf,transaction,10468,211,10679,gpt-5.1-2025-11-13
2026-04-29T10:48:03,modular_rag,MN040018_EN.pdf,comm,6740,52,6792,gpt-5.1-2025-11-13
2026-04-29T10:48:06,modular_rag,MN040018_EN.pdf,transaction,13084,208,13292,gpt-5.1-2025-11-13
2026-04-29T10:48:15,modular_rag,Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf     .pdf,comm,7656,54,7710,gpt-5.1-2025-11-13
2026-04-29T10:48:18,modular_rag,Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf     .pdf,transaction,10702,212,10914,gpt-5.1-2025-11-13
2026-04-29T10:48:27,modular_rag,Modbus-RTU-Manual.2022.pdf,comm,5028,51,5079,gpt-5.1-2025-11-13
