manual,ai_model,strict_accuracy,strict_percent,normalized_accuracy,normalized_percent
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=16),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=3),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: subnetwork.nodes[0].transactions[0].frames[0].frameObjects[4].properties.data=4,,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: subnetwork.nodes[0].transactions[0].frames[0].frameObjects[4].properties.data — not found,,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: subnetwork.nodes[0].transactions[0].frames[0].frameObjects[5].properties.dataLength=4,,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: subnetwork.nodes[0].transactions[0].frames[0].frameObjects[5].properties.dataLength — not found,,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=16),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=3),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: Response Byte Count (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[2].properties.data=8447),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: Response Byte Count (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[2].properties.data=4),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: subnetwork.nodes[0].transactions[0].frames[1].frameObjects[3].properties.data=2,,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: subnetwork.nodes[0].transactions[0].frames[1].frameObjects[3].properties.data — not found,,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Reset Mode),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Read RESET MODE),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Expected: Stop Bits (subnetwork.properties.stopBits=1),,,
Modbus-RTU-ELR-3BN-IM190.5-U-M-v1.2.pdf,gpt-5.1,Predicted: Stop Bits (subnetwork.properties.stopBits=0),,,
Modbus-RTU-Manual.2022.pdf,gpt-5.1,13/15,86.67%,14/15,93.33%
Modbus-RTU-Manual.2022.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=Temperature),,,
Modbus-RTU-Manual.2022.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=MODBUS-RTU electric actuator),,,
Modbus-RTU-Manual.2022.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Temperature),,,
Modbus-RTU-Manual.2022.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Read Temperature),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,11/15,73.33%,12/15,80.00%
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Expected: Node Name (subnetwork.nodes[0].properties.name=RTVS1),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Predicted: Node Name (subnetwork.nodes[0].properties.name=RTVS1 TRANSFORMER FAN SPEED CONTROLLERS WITH MODBUS RTU COMMUNICATION),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Device state),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Read Device state),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Expected: Baud Rate (subnetwork.properties.baudRate=19200),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Predicted: Baud Rate (subnetwork.properties.baudRate=115200),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Expected: Parity (subnetwork.properties.parity=2),,,
rtvs1-35l22-modbus-registerlista.pdf,gpt-5.1,Predicted: Parity (subnetwork.properties.parity=0),,,
S111_Modbus-register-table_EN_V2025-2.pdf.pdf,gpt-5.1,13/15,86.67%,14/15,93.33%
S111_Modbus-register-table_EN_V2025-2.pdf.pdf,gpt-5.1,Expected: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=1052),,,
S111_Modbus-register-table_EN_V2025-2.pdf.pdf,gpt-5.1,Predicted: Request Starting Address (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[2].properties.data=1051),,,
S111_Modbus-register-table_EN_V2025-2.pdf.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Power_factor_A),,,
S111_Modbus-register-table_EN_V2025-2.pdf.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Read Power Factor A),,,
SDM120-MODBUS_Protocol.pdf,gpt-5.1,12/15,80.00%,13/15,86.67%
SDM120-MODBUS_Protocol.pdf,gpt-5.1,Expected: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=3),,,
SDM120-MODBUS_Protocol.pdf,gpt-5.1,Predicted: Request Function Code (subnetwork.nodes[0].transactions[0].frames[0].frameObjects[1].properties.data=4),,,
SDM120-MODBUS_Protocol.pdf,gpt-5.1,Expected: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=3),,,
SDM120-MODBUS_Protocol.pdf,gpt-5.1,Predicted: Response Function Code (subnetwork.nodes[0].transactions[0].frames[1].frameObjects[1].properties.data=4),,,
SDM120-MODBUS_Protocol.pdf,gpt-5.1,Near Match: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=voltage),,,
SDM120-MODBUS_Protocol.pdf,gpt-5.1,Predicted: Transaction Name (subnetwork.nodes[0].transactions[0].properties.name=Read Voltage),,,
AVERAGE,gpt-5.1,10 manuals,71.75%,10 manuals,77.63%
